Member,Riding,Took Office,Left Office,Party,Notes
Hedy Fry,Vancouver Centre,"October 25, 1993",Incumbent,Liberal,Black Canadian
Navdeep Bains,Mississauga—Malton,"October 19, 2015",Incumbent,Liberal,Indian-Canadian
Michael Chong,Wellington—Halton Hills,"June 28, 2004",Incumbent,Conservative,Chinese-Canadian
Yasmin Ratansi,Don Valley East,"October 19, 2015",Incumbent,Liberal,Indian-Canadian
Pablo Rodriguez,Honoré-Mercier,"October 19, 2015",Incumbent,Liberal,Argentinean-Canadian
Omar Alghabra,Mississauga Centre,"October 19, 2015",Incumbent,Liberal,Syrian-Canadian
Sukh Dhaliwal,Surrey—Newton,"October 19, 2015",Incumbent,Liberal,Indian-Canadian
Tim Uppal,Edmonton Mill Woods,"October 21, 2019",Incumbent,Conservative,Indian-Canadian
Alice Wong,Richmond Centre,"October 14, 2008",Incumbent,Conservative,Chinese-Canadian
Emmanuel Dubourg,Bourrassa,"November 25, 2013",Incumbent,Liberal,Black Canadian
Ziad Aboultaif,Edmonton Manning,"October 19, 2015",Incumbent,Conservative,Lebanese-Canadian
Gary Anandasangaree,Scarborough—Rouge Park,"October 19, 2015",Incumbent,Liberal,Sri Lankan-Canadian
Chandra Arya,Nepean,"October 19, 2015",Incumbent,Liberal,Indian-Canadian
Bardish Chagger,Waterloo,"October 19, 2015",Incumbent,Liberal,Indian-Canadian
Shaun Chen,Scarborough North,"October 19, 2015",Incumbent,Liberal,Chinese-Canadian
Anju Dhillon,Dorval—Lachine—LaSalle,"October 19, 2015",Incumbent,Liberal,Indian-Canadian
Ali Ehsassi,Willowdale,"October 19, 2015",Incumbent,Liberal,Iranian-Canadian
Fay,Laval—Les Îles,"October 19, 2015",Incumbent,Liberal,Lebanese-Canadian
Greg Fergus,Hull—Aylmer,"October 19, 2015",Incumbent,Liberal,Black Canadian
Ahmed Hussen,York South—Weston,"October 19, 2015",Incumbent,Liberal,Somalian-Canadian
Majid Jowhari,Richmond Hill,"October 19, 2015",Incumbent,Liberal,Iranian-Canadian
Iqra Khalid,Mississauga—Erin Mills,"October 19, 2015",Incumbent,Liberal,Pakistani-Canadian
Kamal Khera,Brampton West,"October 19, 2015",Incumbent,Liberal,Indian-Canadian
Jenny Kwan,Vancouver East,"October 19, 2015",Incumbent,NDP,Chinese-Canadian
Maryam Monsef,Peterborough—Kawartha,"October 19, 2015",Incumbent,Liberal,Afghani-Canadian
Alain Rayes,Richmond—Arthabaska,"October 19, 2015",Incumbent,Conservative,Egyptian-Canadian
Ruby Sahota,Brampton North,"October 19, 2015",Incumbent,Liberal,Indian-Canadian
Raj Saini,Kitchener Centre,"October 19, 2015",Incumbent,Liberal,Indian-Canadian
Harjit Sajjan,Vancouver South,"October 19, 2015",Incumbent,Liberal,Indian-Canadian
Ramesh Sangha,Brampton Centre,"October 19, 2015",Incumbent,Liberal,Indian-Canadian
Randeep Sarai,Surrey Centre,"October 19, 2015",Incumbent,Liberal,Indian-Canadian
Bob Saroya,Markham—Unionville,"October 19, 2015",Incumbent,Conservative,Indian-Canadian
Sonia Sidhu,Brampton South,"October 19, 2015",Incumbent,Liberal,Indian-Canadian
Gagan Sikand,Mississauga—Streetsville,"October 19, 2015",Incumbent,Liberal,Indian-Canadian
Marwan Tabbara,Kitchener South—Hespeler,"October 19, 2015",Incumbent,Liberal,Lebanese-Canadian
Arif Virani,Parkdale—High Park,"October 19, 2015",Incumbent,Liberal,Indian-Canadian
Salma Zahid,Scarborough Centre,"October 19, 2015",Incumbent,Liberal,Pakistani-Canadian
Mary Ng,Markham—Thornhill,"April 3, 2017",Incumbent,Liberal,Chinese-Canadian
Jean Yip,Scarborough—Agincourt,"December 11, 2017",Incumbent,Liberal,Chinese-Canadian
Jagmeet Singh,Burnaby South,"February 25, 2019",Incumbent,NDP,Indian-Canadian
Kenny Chiu,Steveston—Richmond East,"October 21, 2019",Incumbent,Conservative,Chinese-Canadian
Han Dong,Don Valley North,"October 21, 2019",Incumbent,Liberal,Chinese-Canadian
Matthew Green,Hamilton Centre,"October 21, 2019",Incumbent,NDP,Black Canadian
Jasraj Hallan,Calgary Forest Lawn,"October 21, 2019",Incumbent,Conservative,Indian-Canadian
Soraya Martinez Ferrada,Hochelaga,"October 21, 2019",Incumbent,Liberal,Chilean Canadian
Jag Sahota,Calgary Skyview,"October 21, 2019",Incumbent,Conservative,Indian-Canadian
Nelly Shin,Port Moody—Coquitlam,"October 21, 2019",Incumbent,Conservative,Korean-Canadian
Maninder Sidhu,Brampton East,"October 21, 2019",Incumbent,Liberal,Indian-Canadian
Sameer Zuberi,Pierrefonds—Dollard,"October 21, 2019",Incumbent,Liberal,Pakistani-Canadian
Marci Ien,Toronto Centre,"October 26, 2020",Incumbent,Liberal,Black Canadian
